,company,type,rating,age,highly_ratedFOR,critically_ratedFOR
0,TCS,IT Services & Consulting ,3.8,56 years old,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
1,Accenture,IT Services & Consulting ,4,35 years old,"Company Culture, Skill Development / Learning, Job Security",
2,Cognizant,IT Services & Consulting ,3.9,30 years old,Skill Development / Learning,Promotions / Appraisal
3,Wipro,IT Services & Consulting ,3.8,79 years old,Job Security,"Promotions / Appraisal, Salary & Benefits"
4,Capgemini,IT Services & Consulting ,3.9,57 years old,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
5,HDFC Bank,Banking ,4,30 years old,"Job Security, Skill Development / Learning",Promotions / Appraisal
6,ICICI Bank,Banking ,4,30 years old,"Job Security, Skill Development / Learning, Company Culture",
7,Infosys,IT Services & Consulting ,3.8,43 years old,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal"
8,HCLTech,IT Services & Consulting ,3.7,33 years old,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
9,Tech Mahindra,IT Services & Consulting ,3.7,38 years old,"Promotions / Appraisal, Salary & Benefits",
10,Genpact,IT Services & Consulting ,3.9,27 years old,"Job Security, Skill Development / Learning, Work Life Balance","Salary & Benefits, Promotions / Appraisal"
11,Axis Bank,Banking ,3.9,31 years old,Job Security,
12,Teleperformance,BPO ,3.6,46 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
13,Concentrix Corporation,BPO ,3.9,41 years old,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
14,Jio,Telecom ,4,17 years old,"Job Security, Skill Development / Learning",Promotions / Appraisal
15,Amazon,Internet ,4.1,30 years old,"Company Culture, Salary & Benefits, Work Life Balance",
16,IBM,IT Services & Consulting ,4.1,113 years old,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal
17,Reliance Retail,Retail ,4,18 years old,"Skill Development / Learning, Job Security",Promotions / Appraisal
18,HDB Financial Services,NBFC ,4,17 years old,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal
19,Larsen & Toubro Limited,Engineering & Construction ,4.1,86 years old,"Job Security, Skill Development / Learning",
20,Vodafone Idea,Telecom ,4.2,6 years old,"Company Culture, Work Life Balance, Salary & Benefits",
21,BYJU'S,EdTech ,3.1,13 years old,"Job Security, Work Life Balance, Company Culture",
22,Kotak Mahindra Bank,Banking ,3.8,21 years old,Job Security,Promotions / Appraisal
23,Deloitte,Management Consulting ,3.9,179 years old,"Job Security, Skill Development / Learning, Salary & Benefits",
24,Reliance Industries,Oil & Gas ,4.1,47 years old,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
25,iEnergizer,BPO ,4.6,24 years old,"Company Culture, Skill Development / Learning, Job Security",
26,Bharti Airtel,Telecom ,4.1,29 years old,"Skill Development / Learning, Job Security, Company Culture",
27,Tata Motors,Automobile ,4.2,79 years old,"Job Security, Skill Development / Learning, Company Culture",
28,WNS,BPO ,3.5,28 years old,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
29,Flipkart,Internet ,4.1,17 years old,"Skill Development / Learning, Company Culture, Job Security",
30,IndusInd Bank,Banking ,3.7,30 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
31,Ernst & Young,Management Consulting ,3.6,22 years old,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal"
32,AU Small Finance Bank,Banking ,4.5,28 years old,"Skill Development / Learning, Job Security, Company Culture",
33,Mahindra & Mahindra,Automobile ,4.2,79 years old,"Job Security, Skill Development / Learning, Company Culture",
34,Infosys BPM,BPO ,3.8,22 years old,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal"
35,DXC Technology,IT Services & Consulting ,3.8,7 years old,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
36,IDFC FIRST Bank,Banking ,4,6 years old,"Salary & Benefits, Skill Development / Learning, Job Security",
37,Conneqt Business Solutions,BPO ,3.7,22 years old,"Promotions / Appraisal, Salary & Benefits",
38,LTIMindtree,IT Services & Consulting ,3.7,25 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
39,HDFC Life,Insurance ,4.1,24 years old,"Skill Development / Learning, Job Security, Company Culture",
40,Bajaj Finserv,Financial Services ,4.1,17 years old,"Salary & Benefits, Skill Development / Learning, Job Security",
41,Mphasis,IT Services & Consulting ,3.5,26 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
